date,trades_count,total_closed_pnl,mean_closed_pnl,median_closed_pnl,profitable_trades,profitable_rate,total_volume_usd,avg_trade_size_usd,avg_execution_price,avg_fee,sentiment_value,sentiment_classification
2025-09-01,328,11540.834143,35.185469948170734,0.0,61,0.18597560975609756,449860.02,1371.5244512195122,9224.504973463414,0.24540090518292684,,
2025-09-02,468,34772.8549,74.300972008547,0.677999,245,0.5235042735042735,2054748.09,4390.487371794872,2659.816699098291,0.3223936530769231,,
2025-09-03,508,8008.3374890000005,15.764443875984252,0.0,213,0.41929133858267714,1572571.1099999999,3095.6124212598424,969.3265538129921,0.292843161003937,,
2025-09-04,2600,50590.090326,19.45772704846154,0.0,1155,0.4442307692307692,13057695.0,5022.190384615385,8023.188509165,0.5133899966946154,,
2025-10-01,448,19969.030385000002,44.57372853794643,2.4213459999999998,252,0.5625,1348662.29,3010.4068973214285,13133.976191808035,0.8766684978794643,,
2025-10-02,640,58832.040699000005,91.92506359218751,0.0,311,0.4859375,2531642.17,3955.690890625,37391.03482540313,0.27430491046875,,
2025-10-03,817,-39918.840258000004,-48.86026959363526,0.0,249,0.3047735618115055,4710392.63,5765.474455324357,1727.4042013831088,0.46370855014687884,,
2025-10-04,1146,50421.790974999996,43.99807240401396,0.108,687,0.599476439790576,10582528.88,9234.318394415359,36791.35728468848,1.0723762774188481,,
2025-11-01,134,602.212224,4.494121074626865,0.0,24,0.1791044776119403,539707.4,4027.6671641791045,16969.061596507465,1.1901745728358208,,
2025-11-02,281,2942.512394,10.471574355871885,0.0,61,0.21708185053380782,1004792.4199999999,3575.773736654804,36687.966045658366,0.4145679567615658,,
2025-11-03,1935,-46598.148516,-24.081730499224808,0.0,178,0.09198966408268734,4907475.47,2536.163033591731,2797.564719177261,0.10421167056847545,,
2025-11-04,708,111469.417361,157.44267988841807,0.0,236,0.3333333333333333,5214263.5,7364.77895480226,12608.328254957629,0.5398702390396893,,
2025-12-01,490,1248.69145,2.548349897959184,0.8305625,423,0.863265306122449,710605.08,1450.2144489795917,3289.2089754897956,0.3010652313469388,,
2025-12-02,426,3341.668084,7.844291276995305,0.0281,229,0.5375586854460094,1494384.2,3507.9441314553987,25475.468761021126,0.6162909007276995,,
2025-12-03,1584,42226.724186,26.658285470959594,0.0,390,0.24621212121212122,5336895.6,3369.2522727272726,2742.266181633207,0.3830622009090909,,
2025-12-04,423,366332.148287,866.0334474869977,0.126288,219,0.5177304964539007,13954022.76,32988.2334751773,18283.47759355319,1.3839529535650117,,
